                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.94423,                 1.0836,                  1.556,                 0.6505,                0.70523,                0.72042,                0.53525,                0.60973,                0.66419,                 1.3212,               0.006535,               0.006535,               0.006535
                     37,                0.93782,                 1.0634,                 1.5507,                0.64155,                0.73909,                0.72991,                0.54576,                 0.6079,                0.64552,                 1.3234,               0.006436,               0.006436,               0.006436
                     38,                0.93732,                 1.0601,                 1.5485,                 0.6714,                0.71132,                0.73746,                0.55735,                0.60522,                0.63952,                 1.3248,               0.006337,               0.006337,               0.006337
                     39,                0.93742,                 1.0501,                 1.5498,                0.66932,                 0.7326,                0.74543,                0.56131,                0.60265,                0.64979,                 1.3145,               0.006238,               0.006238,               0.006238
                     40,                 0.9262,                 1.0361,                 1.5429,                0.68842,                0.72859,                0.75279,                0.56676,                0.59583,                0.63626,                 1.3085,               0.006139,               0.006139,               0.006139
                     41,                0.93041,                 1.0362,                 1.5419,                0.69101,                0.72008,                0.74833,                0.56981,                0.59898,                0.63248,                 1.3167,                0.00604,                0.00604,                0.00604
                     42,                0.92627,                   1.03,                  1.538,                0.65959,                0.74689,                0.75149,                0.57401,                0.59809,                0.62467,                 1.3137,               0.005941,               0.005941,               0.005941
                     43,                0.92358,                 1.0154,                 1.5374,                0.67047,                0.77009,                0.75766,                0.57798,                0.59585,                0.62115,                 1.3131,               0.005842,               0.005842,               0.005842
                     44,                0.91956,                 1.0142,                   1.53,                0.67042,                0.76075,                0.75914,                0.57905,                0.59422,                 0.6249,                 1.3087,               0.005743,               0.005743,               0.005743
                     45,                0.91336,                 1.0048,                 1.5279,                 0.6896,                 0.7283,                0.75052,                0.57092,                0.59612,                0.62253,                 1.3089,               0.005644,               0.005644,               0.005644
                     46,                0.92149,                 1.0055,                 1.5311,                0.66821,                0.76103,                0.75341,                0.57417,                0.59393,                0.62058,                 1.3106,               0.005545,               0.005545,               0.005545
                     47,                0.91158,                0.98889,                 1.5233,                0.66753,                0.78523,                0.76331,                0.58103,                0.59482,                0.60865,                 1.3141,               0.005446,               0.005446,               0.005446
                     48,                0.90839,                0.98129,                 1.5195,                 0.7066,                0.76121,                0.76712,                0.58447,                0.59468,                0.59976,                 1.3129,               0.005347,               0.005347,               0.005347
                     49,                0.90581,                0.97841,                 1.5186,                0.73507,                0.74848,                0.77163,                0.58876,                0.59365,                0.59936,                 1.3085,               0.005248,               0.005248,               0.005248
                     50,                0.90831,                0.98312,                 1.5209,                0.72225,                0.75253,                0.76757,                0.58621,                0.59275,                0.60093,                  1.308,               0.005149,               0.005149,               0.005149
                     51,                0.90457,                0.97247,                  1.515,                0.71164,                0.76767,                0.77415,                0.58774,                0.59291,                0.60316,                 1.3067,                0.00505,                0.00505,                0.00505
                     52,                0.89477,                0.96021,                 1.5085,                0.73851,                0.73639,                0.77464,                0.58744,                 0.5899,                0.59984,                 1.3029,               0.004951,               0.004951,               0.004951
                     53,                0.89814,                0.95154,                 1.5097,                0.72561,                0.74552,                0.77497,                0.58567,                0.58966,                0.59574,                 1.3033,               0.004852,               0.004852,               0.004852
                     54,                0.89503,                0.94223,                 1.5068,                0.76325,                0.73182,                0.77778,                0.58884,                0.58899,                0.58914,                 1.3038,               0.004753,               0.004753,               0.004753
                     55,                0.88663,                0.94189,                 1.5004,                0.74333,                0.75962,                  0.781,                0.58636,                0.58844,                0.58438,                 1.3072,               0.004654,               0.004654,               0.004654
                     56,                0.88635,                0.92742,                 1.4983,                0.78991,                 0.7197,                0.77804,                0.58649,                0.58819,                0.58431,                 1.3066,               0.004555,               0.004555,               0.004555
                     57,                0.88378,                0.92329,                 1.4914,                 0.7486,                0.75633,                0.77791,                0.58689,                 0.5879,                0.58221,                 1.3066,               0.004456,               0.004456,               0.004456
                     58,                0.89123,                0.92843,                 1.5045,                0.74871,                0.76499,                0.77904,                0.59362,                0.58817,                0.58043,                 1.3066,               0.004357,               0.004357,               0.004357
                     59,                0.87714,                0.91656,                 1.4882,                0.75258,                0.75794,                0.77916,                0.59242,                0.58918,                0.57833,                 1.3086,               0.004258,               0.004258,               0.004258
                     60,                0.87536,                0.91268,                 1.4883,                0.73603,                0.76696,                0.78093,                0.59709,                0.58804,                0.57913,                 1.3086,               0.004159,               0.004159,               0.004159
                     61,                 0.8776,                0.91169,                 1.4881,                0.73705,                0.78054,                0.77957,                0.59789,                0.58576,                0.57844,                 1.3072,                0.00406,                0.00406,                0.00406
                     62,                0.86925,                0.90099,                 1.4812,                0.71935,                0.78984,                0.78003,                0.59836,                 0.5859,                0.57975,                 1.3074,               0.003961,               0.003961,               0.003961
                     63,                0.87773,                0.88551,                 1.4907,                0.72042,                 0.7973,                0.78116,                0.59973,                0.58635,                0.57983,                 1.3076,               0.003862,               0.003862,               0.003862
                     64,                0.87088,                0.88756,                 1.4834,                0.72075,                0.78389,                 0.7801,                0.60207,                0.58521,                0.57825,                 1.3055,               0.003763,               0.003763,               0.003763
                     65,                0.85217,                0.87818,                 1.4643,                0.72127,                0.78309,                0.78009,                0.60138,                0.58438,                0.57709,                 1.3041,               0.003664,               0.003664,               0.003664
                     66,                0.85917,                0.87417,                 1.4705,                 0.7343,                0.77977,                0.78257,                0.60064,                0.58434,                0.57629,                 1.3028,               0.003565,               0.003565,               0.003565
                     67,                0.85719,                0.87788,                 1.4697,                0.77754,                0.73754,                0.78296,                0.60016,                0.58369,                  0.575,                 1.3022,               0.003466,               0.003466,               0.003466
                     68,                0.86471,                0.86555,                 1.4773,                0.77786,                0.73581,                0.78291,                0.60227,                0.58382,                0.57421,                 1.3031,               0.003367,               0.003367,               0.003367
                     69,                 0.8568,                0.85429,                 1.4705,                0.79666,                0.73018,                0.78371,                0.60201,                0.58327,                0.57282,                 1.3034,               0.003268,               0.003268,               0.003268
                     70,                0.84936,                0.84937,                 1.4654,                0.80015,                0.72852,                0.78705,                0.60618,                0.58342,                0.57174,                  1.304,               0.003169,               0.003169,               0.003169
                     71,                0.85005,                0.84968,                 1.4627,                0.78166,                0.74744,                0.78826,                0.60933,                0.58354,                0.57004,                 1.3041,                0.00307,                0.00307,                0.00307
                     72,                0.83812,                0.83819,                  1.453,                0.79985,                0.73966,                 0.7884,                0.60905,                0.58327,                0.56878,                  1.303,               0.002971,               0.002971,               0.002971
                     73,                0.83906,                0.83332,                 1.4494,                0.79254,                0.74769,                0.78853,                 0.6098,                0.58257,                0.56805,                 1.3016,               0.002872,               0.002872,               0.002872
                     74,                0.83972,                0.82074,                   1.45,                0.79418,                0.75104,                0.78991,                0.61061,                0.58256,                0.56634,                 1.3019,               0.002773,               0.002773,               0.002773
                     75,                0.83411,                0.82417,                 1.4467,                 0.7945,                0.74902,                0.79013,                0.61011,                0.58212,                0.56575,                 1.3013,               0.002674,               0.002674,               0.002674
                     76,                0.83301,                 0.8174,                 1.4513,                0.79453,                0.75217,                0.79154,                0.61107,                0.58221,                0.56415,                 1.3019,               0.002575,               0.002575,               0.002575
                     77,                0.83073,                0.80986,                 1.4435,                0.79328,                0.75131,                0.79244,                0.61261,                 0.5824,                0.56287,                 1.3022,               0.002476,               0.002476,               0.002476
                     78,                0.83264,                0.81095,                 1.4465,                0.79431,                0.75313,                0.79263,                0.61245,                 0.5819,                0.56237,                 1.3016,               0.002377,               0.002377,               0.002377
                     79,                0.82549,                0.79668,                 1.4407,                0.79494,                0.75456,                0.79325,                 0.6136,                0.58135,                0.56183,                 1.3007,               0.002278,               0.002278,               0.002278
