                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77123,                0.97291,                 1.3549,                0.54392,                 0.6021,                0.52448,                 0.3949,                0.61504,                0.77526,                 1.2783,               0.006535,               0.006535,               0.006535
                     37,                0.76633,                 0.9661,                 1.3554,                0.41543,                0.59956,                0.53414,                0.39588,                0.61404,                0.76461,                 1.2812,               0.006436,               0.006436,               0.006436
                     38,                0.77297,                0.96189,                 1.3581,                0.41662,                0.62894,                0.51299,                0.38381,                0.62047,                0.76052,                 1.2835,               0.006337,               0.006337,               0.006337
                     39,                0.77124,                0.95543,                 1.3543,                0.59121,                0.58565,                0.53773,                0.40384,                0.61237,                0.74401,                 1.2658,               0.006238,               0.006238,               0.006238
                     40,                0.77126,                0.95243,                 1.3556,                0.44396,                0.65818,                0.52748,                0.39647,                0.61397,                0.76931,                  1.269,               0.006139,               0.006139,               0.006139
                     41,                0.76421,                0.95166,                 1.3507,                0.50772,                0.58984,                0.54969,                0.41201,                0.60264,                0.73938,                 1.2559,                0.00604,                0.00604,                0.00604
                     42,                0.76244,                0.93985,                 1.3478,                0.48275,                0.60954,                0.53756,                0.40072,                0.60338,                0.74385,                 1.2666,               0.005941,               0.005941,               0.005941
                     43,                0.75859,                0.93711,                 1.3466,                0.48236,                0.60163,                0.55165,                 0.4227,                0.58236,                0.73003,                 1.2455,               0.005842,               0.005842,               0.005842
                     44,                0.75333,                0.93315,                 1.3415,                  0.523,                0.64646,                0.55479,                0.41381,                 0.6005,                0.72817,                 1.2512,               0.005743,               0.005743,               0.005743
                     45,                 0.7497,                0.92659,                 1.3368,                0.51292,                0.65434,                0.58163,                0.44051,                0.58969,                 0.7185,                  1.249,               0.005644,               0.005644,               0.005644
                     46,                0.75898,                0.93523,                  1.348,                0.53516,                0.62603,                0.57673,                0.43539,                0.58407,                0.71587,                 1.2504,               0.005545,               0.005545,               0.005545
                     47,                0.74901,                0.92068,                  1.334,                0.51538,                0.60664,                0.57952,                0.44006,                0.58259,                0.71595,                 1.2423,               0.005446,               0.005446,               0.005446
                     48,                0.74766,                0.90744,                 1.3354,                0.51954,                0.62094,                0.59423,                 0.4482,                0.58868,                0.69779,                 1.2592,               0.005347,               0.005347,               0.005347
                     49,                0.74166,                0.91559,                 1.3292,                0.48262,                0.66104,                0.57003,                0.42542,                0.58872,                0.72219,                 1.2445,               0.005248,               0.005248,               0.005248
                     50,                0.73865,                0.90205,                 1.3269,                0.57105,                0.58582,                0.59137,                 0.4424,                0.58661,                0.70361,                 1.2438,               0.005149,               0.005149,               0.005149
                     51,                0.73876,                0.90349,                 1.3278,                0.48774,                0.67552,                0.59573,                0.45193,                0.58748,                0.69555,                 1.2527,                0.00505,                0.00505,                0.00505
                     52,                  0.729,                0.88909,                 1.3168,                0.48347,                0.70086,                0.59039,                0.44568,                0.58477,                0.70049,                 1.2509,               0.004951,               0.004951,               0.004951
                     53,                0.73613,                0.90001,                  1.328,                0.52303,                  0.649,                0.60297,                0.46199,                0.58226,                0.70012,                 1.2474,               0.004852,               0.004852,               0.004852
                     54,                 0.7332,                0.89928,                 1.3294,                0.55456,                0.64302,                0.60374,                0.46182,                0.57552,                0.69475,                 1.2418,               0.004753,               0.004753,               0.004753
                     55,                0.72812,                0.88469,                 1.3195,                0.49105,                0.65874,                0.59676,                0.45967,                 0.5766,                0.69766,                  1.234,               0.004654,               0.004654,               0.004654
                     56,                0.73236,                 0.8837,                 1.3193,                0.51454,                0.68827,                0.60983,                0.46531,                0.57201,                0.68743,                 1.2356,               0.004555,               0.004555,               0.004555
                     57,                0.72165,                0.87618,                 1.3105,                0.54815,                0.63992,                0.61808,                 0.4716,                0.57275,                0.67929,                 1.2398,               0.004456,               0.004456,               0.004456
                     58,                  0.723,                0.87451,                 1.3148,                0.51984,                0.67359,                0.60098,                0.46319,                0.57107,                0.68729,                 1.2322,               0.004357,               0.004357,               0.004357
                     59,                0.72914,                0.87717,                 1.3146,                0.52735,                0.69753,                0.61422,                0.46665,                0.57223,                0.68233,                 1.2253,               0.004258,               0.004258,               0.004258
                     60,                 0.7202,                0.85641,                 1.3074,                0.52621,                0.67771,                0.61136,                0.47104,                0.56803,                0.67111,                 1.2321,               0.004159,               0.004159,               0.004159
                     61,                0.72718,                0.86337,                 1.3153,                0.50599,                0.68216,                0.61855,                0.47287,                0.57373,                0.67114,                 1.2312,                0.00406,                0.00406,                0.00406
                     62,                0.71425,                 0.8657,                  1.306,                0.49469,                0.71397,                0.62422,                0.48288,                0.56663,                0.67157,                 1.2268,               0.003961,               0.003961,               0.003961
                     63,                0.70864,                0.85893,                 1.2997,                  0.586,                0.62254,                0.62902,                 0.4872,                0.56494,                0.66538,                 1.2288,               0.003862,               0.003862,               0.003862
                     64,                0.70888,                0.84484,                 1.3045,                0.58005,                0.63654,                0.63417,                0.48741,                0.56788,                0.66533,                 1.2358,               0.003763,               0.003763,               0.003763
                     65,                0.70226,                0.84381,                 1.2945,                0.59681,                0.66295,                0.64531,                0.49951,                0.56806,                0.65605,                 1.2286,               0.003664,               0.003664,               0.003664
                     66,                0.71051,                0.83872,                 1.3081,                0.55675,                0.65633,                0.64336,                0.49909,                0.56266,                0.65103,                 1.2286,               0.003565,               0.003565,               0.003565
                     67,                0.71008,                0.83974,                 1.2988,                0.61834,                0.63046,                 0.6439,                0.49464,                0.56437,                0.65113,                  1.226,               0.003466,               0.003466,               0.003466
                     68,                0.70097,                 0.8319,                 1.2925,                0.58282,                0.66159,                0.65239,                0.49763,                 0.5642,                0.65286,                 1.2286,               0.003367,               0.003367,               0.003367
                     69,                0.70127,                 0.8311,                 1.2927,                0.61415,                0.64411,                0.66051,                0.50574,                0.56585,                 0.6442,                 1.2305,               0.003268,               0.003268,               0.003268
                     70,                    0.7,                0.82736,                 1.2903,                0.62064,                0.64339,                  0.665,                0.51132,                0.56441,                0.64418,                 1.2214,               0.003169,               0.003169,               0.003169
