                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77384,                0.98028,                 1.3815,                0.38689,                0.59793,                0.52625,                0.39288,                0.61118,                0.76045,                 1.3128,               0.006535,               0.006535,               0.006535
                     37,                0.76966,                0.97694,                 1.3788,                0.62604,                0.52878,                 0.5207,                0.39489,                0.60822,                0.76157,                 1.3054,               0.006436,               0.006436,               0.006436
                     38,                0.77227,                0.96776,                 1.3761,                0.39692,                0.57029,                0.50758,                0.38817,                0.61615,                0.76655,                 1.3186,               0.006337,               0.006337,               0.006337
                     39,                0.76798,                0.95829,                 1.3716,                0.59233,                0.56563,                0.53037,                0.40339,                0.60962,                0.74498,                 1.3017,               0.006238,               0.006238,               0.006238
                     40,                 0.7718,                0.95858,                 1.3761,                0.61061,                0.55815,                0.54154,                0.40788,                0.60843,                0.75487,                 1.3058,               0.006139,               0.006139,               0.006139
                     41,                0.76393,                0.95919,                 1.3724,                0.44265,                0.61312,                0.54427,                0.41458,                0.60706,                0.73467,                 1.3121,                0.00604,                0.00604,                0.00604
                     42,                0.76022,                0.95044,                 1.3678,                0.57477,                0.55159,                0.53491,                0.40213,                0.60518,                0.74184,                 1.3095,               0.005941,               0.005941,               0.005941
                     43,                0.75963,                0.94399,                 1.3659,                0.45978,                0.57713,                0.54637,                0.40974,                0.60134,                0.73472,                 1.3044,               0.005842,               0.005842,               0.005842
                     44,                0.75486,                0.94254,                 1.3633,                0.43731,                0.64578,                0.53671,                0.40663,                0.60637,                0.74288,                 1.3128,               0.005743,               0.005743,               0.005743
                     45,                0.74867,                0.93495,                 1.3552,                0.47755,                0.63676,                0.57615,                0.43467,                0.59686,                0.72728,                 1.3031,               0.005644,               0.005644,               0.005644
                     46,                  0.759,                0.94153,                 1.3644,                0.61383,                0.58931,                0.57927,                0.43876,                0.59184,                0.71148,                 1.2975,               0.005545,               0.005545,               0.005545
                     47,                 0.7469,                0.92816,                 1.3551,                0.47933,                0.63476,                0.59234,                0.44017,                 0.5917,                0.71001,                 1.2981,               0.005446,               0.005446,               0.005446
                     48,                0.74634,                  0.916,                  1.352,                0.54651,                0.59233,                0.58355,                0.44051,                0.59628,                0.70632,                  1.312,               0.005347,               0.005347,               0.005347
                     49,                0.74333,                0.92009,                 1.3481,                0.52187,                0.59728,                0.57047,                0.43327,                0.58957,                0.71511,                 1.2963,               0.005248,               0.005248,               0.005248
                     50,                0.74151,                0.90917,                 1.3451,                0.53977,                0.60368,                0.58966,                0.44233,                 0.5914,                0.69941,                 1.2893,               0.005149,               0.005149,               0.005149
                     51,                0.74038,                0.91494,                 1.3437,                0.51435,                0.64973,                0.57282,                0.43505,                0.59244,                 0.7087,                 1.2991,                0.00505,                0.00505,                0.00505
                     52,                0.72964,                0.89347,                 1.3325,                0.52666,                0.62804,                0.58913,                0.44587,                0.58571,                0.70408,                 1.2823,               0.004951,               0.004951,               0.004951
                     53,                 0.7407,                0.90483,                 1.3469,                0.50879,                0.65478,                0.58776,                0.44776,                0.58638,                0.70188,                 1.2873,               0.004852,               0.004852,               0.004852
                     54,                0.73651,                0.90946,                 1.3459,                0.54083,                0.61267,                0.59023,                0.45115,                0.58438,                0.69648,                 1.2835,               0.004753,               0.004753,               0.004753
                     55,                  0.732,                0.88832,                 1.3364,                0.51809,                0.62648,                0.58912,                0.44924,                0.58463,                 0.6893,                 1.2873,               0.004654,               0.004654,               0.004654
                     56,                0.73565,                0.89158,                 1.3381,                0.52718,                0.67151,                0.59535,                0.45308,                0.57771,                0.69091,                 1.2834,               0.004555,               0.004555,               0.004555
                     57,                0.72717,                0.88239,                 1.3263,                 0.5763,                0.63716,                0.61794,                0.46987,                0.57492,                0.67538,                 1.2758,               0.004456,               0.004456,               0.004456
                     58,                0.72711,                0.87852,                 1.3314,                0.58235,                 0.6341,                0.59845,                0.46114,                0.57218,                0.67791,                 1.2727,               0.004357,               0.004357,               0.004357
                     59,                0.73085,                0.87882,                 1.3304,                0.57729,                0.62419,                0.60563,                0.46092,                0.57662,                0.67674,                 1.2704,               0.004258,               0.004258,               0.004258
                     60,                0.72084,                0.86035,                 1.3205,                0.56873,                 0.6229,                0.61324,                0.47259,                0.57203,                0.67062,                 1.2728,               0.004159,               0.004159,               0.004159
                     61,                0.72733,                0.86568,                 1.3277,                 0.5855,                0.59212,                0.59488,                 0.4555,                0.57767,                0.67351,                  1.275,                0.00406,                0.00406,                0.00406
                     62,                0.71732,                0.86655,                 1.3228,                0.55414,                0.64425,                0.60414,                0.46869,                 0.5747,                0.67315,                 1.2678,               0.003961,               0.003961,               0.003961
                     63,                0.71162,                0.86197,                 1.3168,                0.55257,                0.67297,                0.61547,                0.47312,                0.57371,                0.66335,                 1.2745,               0.003862,               0.003862,               0.003862
                     64,                0.71235,                0.85129,                 1.3194,                0.56399,                0.62706,                0.61197,                0.47205,                 0.5767,                0.66185,                 1.2733,               0.003763,               0.003763,               0.003763
                     65,                  0.706,                 0.8466,                 1.3126,                0.57584,                0.63298,                0.62434,                0.48224,                 0.5732,                 0.6512,                  1.274,               0.003664,               0.003664,               0.003664
                     66,                0.71186,                0.84587,                 1.3226,                0.57271,                0.64742,                0.62913,                0.48658,                0.57063,                0.65225,                 1.2745,               0.003565,               0.003565,               0.003565
                     67,                0.71213,                0.84293,                 1.3169,                 0.5865,                0.62888,                0.62798,                0.48393,                0.57242,                0.65743,                 1.2743,               0.003466,               0.003466,               0.003466
                     68,                0.70278,                0.83891,                 1.3076,                0.60238,                0.62463,                0.63381,                0.48928,                 0.5731,                0.65687,                 1.2721,               0.003367,               0.003367,               0.003367
                     69,                0.70134,                0.83793,                 1.3055,                0.58704,                0.63559,                0.64452,                0.49491,                 0.5731,                0.64643,                 1.2718,               0.003268,               0.003268,               0.003268
                     70,                0.70152,                0.83518,                 1.3071,                0.60639,                 0.6055,                 0.6412,                0.49166,                0.56923,                0.64227,                 1.2689,               0.003169,               0.003169,               0.003169
                     71,                 0.7018,                0.81351,                 1.3041,                0.63434,                0.62379,                 0.6544,                0.50622,                  0.569,                0.63441,                 1.2672,                0.00307,                0.00307,                0.00307
                     72,                0.69565,                 0.8175,                 1.3032,                0.57889,                0.67965,                0.65789,                0.51254,                0.56418,                 0.6314,                 1.2642,               0.002971,               0.002971,               0.002971
                     73,                 0.6971,                0.82299,                 1.3029,                0.59667,                0.68348,                0.65926,                0.51269,                0.56383,                0.63562,                 1.2629,               0.002872,               0.002872,               0.002872
                     74,                0.69646,                0.81905,                 1.2976,                0.59033,                0.67049,                0.66059,                0.51011,                0.56396,                0.62911,                  1.261,               0.002773,               0.002773,               0.002773
                     75,                0.69807,                0.81679,                 1.3008,                0.62079,                0.64644,                0.66259,                0.51824,                0.56073,                0.63209,                 1.2571,               0.002674,               0.002674,               0.002674
                     76,                0.68396,                0.79223,                 1.2882,                0.61429,                 0.6548,                0.66493,                0.51743,                0.55921,                0.62963,                 1.2574,               0.002575,               0.002575,               0.002575
                     77,                0.69163,                 0.8034,                 1.2972,                0.60669,                0.64789,                0.66243,                0.51394,                0.55922,                0.62935,                 1.2547,               0.002476,               0.002476,               0.002476
                     78,                0.69137,                0.80038,                  1.297,                0.68429,                 0.5896,                0.66609,                 0.5129,                0.55957,                0.62911,                 1.2573,               0.002377,               0.002377,               0.002377
