                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9378,                 1.0695,                 1.5253,                0.71875,                0.71372,                0.75285,                0.56503,                0.60431,                0.65794,                 1.2639,               0.006535,               0.006535,               0.006535
                     37,                0.93548,                 1.0568,                 1.5264,                0.67885,                0.72513,                0.74378,                0.56264,                0.60133,                0.64474,                   1.27,               0.006436,               0.006436,               0.006436
                     38,                0.93199,                  1.048,                 1.5213,                0.71883,                0.67547,                0.74792,                0.56356,                0.60361,                0.64178,                 1.2717,               0.006337,               0.006337,               0.006337
                     39,                0.93152,                 1.0412,                  1.523,                0.71235,                0.70443,                0.75054,                0.56578,                 0.6012,                0.64203,                 1.2813,               0.006238,               0.006238,               0.006238
                     40,                0.91949,                 1.0267,                 1.5131,                0.71642,                0.71653,                0.75527,                0.57246,                0.59525,                0.62928,                 1.2722,               0.006139,               0.006139,               0.006139
                     41,                0.92653,                 1.0287,                 1.5135,                0.76675,                0.67463,                0.76266,                0.57727,                0.59617,                0.62487,                 1.2654,                0.00604,                0.00604,                0.00604
                     42,                 0.9232,                 1.0197,                 1.5099,                0.74147,                0.69661,                0.76115,                0.57564,                0.59705,                0.62538,                 1.2613,               0.005941,               0.005941,               0.005941
                     43,                0.91538,                  1.001,                 1.5058,                0.72782,                0.72427,                0.76105,                0.57142,                0.59827,                0.61799,                  1.261,               0.005842,               0.005842,               0.005842
                     44,                0.91582,                 1.0012,                 1.5031,                0.71446,                0.75272,                0.76312,                0.56987,                0.59998,                0.62115,                  1.264,               0.005743,               0.005743,               0.005743
                     45,                0.90715,                 0.9903,                 1.4968,                0.74379,                0.70058,                0.76086,                0.57468,                 0.6001,                0.62078,                 1.2642,               0.005644,               0.005644,               0.005644
                     46,                0.91845,                0.99376,                 1.5045,                 0.7667,                0.70157,                0.76453,                0.57755,                0.59461,                0.61286,                 1.2616,               0.005545,               0.005545,               0.005545
                     47,                0.90549,                0.97817,                 1.4935,                0.76052,                0.70398,                0.77313,                0.58741,                0.59353,                0.61194,                 1.2619,               0.005446,               0.005446,               0.005446
                     48,                 0.9025,                0.96897,                 1.4939,                0.73164,                0.73539,                0.77342,                0.58675,                0.59248,                0.60538,                 1.2589,               0.005347,               0.005347,               0.005347
                     49,                 0.9017,                0.96928,                 1.4895,                0.72233,                0.74721,                0.77379,                0.58732,                0.59137,                0.60257,                 1.2542,               0.005248,               0.005248,               0.005248
                     50,                0.90527,                0.97501,                 1.4958,                 0.7032,                0.75152,                0.78569,                0.59746,                0.58581,                0.59782,                 1.2528,               0.005149,               0.005149,               0.005149
                     51,                0.89747,                0.96255,                 1.4865,                0.75457,                0.70991,                0.78114,                0.59905,                 0.5878,                0.59904,                 1.2553,                0.00505,                0.00505,                0.00505
                     52,                0.89415,                0.95233,                 1.4809,                0.69871,                0.78498,                0.78639,                0.60153,                0.58859,                0.59922,                 1.2553,               0.004951,               0.004951,               0.004951
                     53,                0.89046,                0.94143,                   1.48,                0.77995,                0.69223,                0.78439,                0.60039,                0.58838,                0.59444,                 1.2562,               0.004852,               0.004852,               0.004852
                     54,                0.89295,                0.92922,                 1.4833,                0.75927,                 0.7192,                0.78579,                0.60118,                 0.5887,                0.58685,                 1.2553,               0.004753,               0.004753,               0.004753
                     55,                0.88363,                0.92723,                 1.4761,                0.77394,                0.70414,                0.78732,                0.60419,                0.58727,                0.58526,                 1.2553,               0.004654,               0.004654,               0.004654
                     56,                0.88462,                0.91943,                 1.4768,                0.77252,                0.72432,                 0.7868,                0.60493,                0.58695,                 0.5853,                 1.2546,               0.004555,               0.004555,               0.004555
                     57,                0.87936,                0.91652,                 1.4646,                0.77624,                0.71871,                 0.7864,                0.60585,                0.58723,                0.58353,                 1.2511,               0.004456,               0.004456,               0.004456
                     58,                0.88378,                0.91693,                 1.4749,                0.75153,                0.73659,                0.78994,                0.60432,                0.58578,                0.58482,                 1.2483,               0.004357,               0.004357,               0.004357
                     59,                 0.8742,                0.90843,                 1.4657,                0.74469,                0.74645,                0.79086,                  0.607,                0.58482,                0.58517,                 1.2504,               0.004258,               0.004258,               0.004258
                     60,                0.86936,                0.89839,                 1.4615,                0.80519,                0.69924,                0.79292,                0.60607,                0.58554,                0.58113,                 1.2534,               0.004159,               0.004159,               0.004159
                     61,                0.87594,                0.90141,                 1.4635,                0.79498,                0.71367,                0.79386,                0.60548,                0.58456,                0.57945,                 1.2528,                0.00406,                0.00406,                0.00406
                     62,                 0.8646,                0.89446,                 1.4558,                0.73567,                0.77735,                0.79577,                0.60562,                0.58293,                0.57723,                 1.2523,               0.003961,               0.003961,               0.003961
                     63,                0.87131,                0.88109,                 1.4612,                 0.7386,                0.79105,                0.79703,                0.60646,                0.58375,                0.57651,                 1.2544,               0.003862,               0.003862,               0.003862
                     64,                0.86494,                0.87991,                 1.4584,                0.73519,                0.80526,                0.79827,                 0.6102,                0.58324,                0.57409,                 1.2554,               0.003763,               0.003763,               0.003763
                     65,                0.85074,                0.86184,                 1.4428,                0.73882,                0.80113,                0.79925,                0.60838,                0.58334,                0.57347,                 1.2553,               0.003664,               0.003664,               0.003664
                     66,                0.85425,                0.86363,                 1.4445,                0.73994,                0.79558,                 0.8008,                0.61046,                0.58296,                0.57206,                 1.2547,               0.003565,               0.003565,               0.003565
                     67,                 0.8534,                0.86282,                 1.4452,                0.74088,                 0.7972,                0.80269,                0.61019,                0.58452,                0.57015,                 1.2575,               0.003466,               0.003466,               0.003466
                     68,                0.85954,                0.85573,                 1.4556,                0.73812,                0.80689,                0.80499,                0.61309,                0.58482,                0.56895,                 1.2593,               0.003367,               0.003367,               0.003367
                     69,                 0.8494,                0.84391,                 1.4443,                0.73941,                0.80422,                0.80671,                0.61643,                0.58417,                 0.5671,                 1.2608,               0.003268,               0.003268,               0.003268
